epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,278.713,3.32327,5.36872,4.25089,0,0,0,0,2.97401,5.52001,4.15283,0.00328125,0.00328125,0.00328125
2,585.872,3.33991,5.37343,4.23617,0.00059,0.02549,0.00032,8e-05,3.2805,16.5312,11.6153,0.00657093,0.00657093,0.00657093
3,927.147,2.98394,4.44227,3.55621,0.05612,0.02844,0.00046,0.00014,3.01449,263.29,5.22886,0.0098166,0.0098166,0.0098166
4,1258.22,2.24187,3.42034,2.69937,0.34583,0.01585,0.00265,0.0009,2.69245,13.5683,3.53195,0.009802,0.009802,0.009802
5,1557.31,1.96203,2.9548,2.39999,0.30262,0.11614,0.05975,0.02287,2.00261,4.11832,2.65692,0.009736,0.009736,0.009736
6,1896.35,1.8197,2.65807,2.2379,0.21367,0.15584,0.09536,0.04651,1.80982,4.88591,2.47368,0.00967,0.00967,0.00967
7,2223.93,1.68605,2.47668,2.12413,0.35358,0.15571,0.11922,0.05929,1.68841,3.63825,2.27864,0.009604,0.009604,0.009604
8,2528.76,1.63432,2.2499,2.01275,0.47942,0.16986,0.15309,0.08033,1.68567,2.77041,2.27339,0.009538,0.009538,0.009538
9,2866.59,1.6011,2.17676,1.99831,0.40811,0.19441,0.16208,0.09209,1.49305,2.34461,2.04244,0.009472,0.009472,0.009472
10,3196.24,1.50261,2.04404,1.93317,0.51398,0.16691,0.18252,0.10322,1.52778,2.72373,2.09006,0.009406,0.009406,0.009406
11,3512.39,1.49661,1.98379,1.89092,0.45992,0.20045,0.18388,0.10851,1.49955,2.69625,2.07416,0.00934,0.00934,0.00934
12,3823.1,1.45206,1.93912,1.88633,0.59149,0.20236,0.20086,0.11839,1.38966,2.36473,1.9463,0.009274,0.009274,0.009274
13,4157.07,1.45176,1.90159,1.8549,0.71262,0.22138,0.22524,0.1377,1.33471,1.95423,1.92662,0.009208,0.009208,0.009208
14,4485.83,1.41183,1.78917,1.80909,0.61912,0.22842,0.23517,0.14824,1.31154,1.81622,1.89154,0.009142,0.009142,0.009142
15,4812.35,1.42994,1.78805,1.8256,0.61992,0.24245,0.23263,0.14234,1.31854,1.83178,1.87046,0.009076,0.009076,0.009076
16,5127.92,1.37768,1.75437,1.77784,0.5746,0.21537,0.23968,0.14759,1.27273,1.82718,1.82741,0.00901,0.00901,0.00901
17,5446.53,1.34996,1.71885,1.78108,0.61172,0.24385,0.26625,0.16746,1.24613,1.64725,1.79708,0.008944,0.008944,0.008944
18,5789.38,1.32323,1.62245,1.74715,0.58685,0.25431,0.28298,0.17624,1.33254,1.72634,1.82121,0.008878,0.008878,0.008878
19,6103.54,1.30255,1.61417,1.74692,0.65187,0.25702,0.27525,0.17794,1.18665,1.60238,1.73132,0.008812,0.008812,0.008812
20,6420.93,1.30438,1.58013,1.73368,0.64424,0.26723,0.27807,0.17793,1.20004,1.58626,1.76292,0.008746,0.008746,0.008746
21,6766.21,1.27092,1.55104,1.70538,0.62301,0.26928,0.259,0.16849,1.15958,1.64271,1.72555,0.00868,0.00868,0.00868
22,7073.46,1.23512,1.49146,1.66653,0.56093,0.28714,0.2719,0.17949,1.1327,1.57394,1.68723,0.008614,0.008614,0.008614
23,7405.73,1.25103,1.52502,1.6843,0.60638,0.27586,0.28921,0.1892,1.12868,1.47454,1.68349,0.008548,0.008548,0.008548
24,7736.24,1.24228,1.48881,1.66679,0.67783,0.27404,0.30256,0.2028,1.09838,1.41891,1.65261,0.008482,0.008482,0.008482
25,8064.24,1.23547,1.46254,1.67543,0.64361,0.29969,0.30163,0.19674,1.12177,1.47737,1.67306,0.008416,0.008416,0.008416
26,8400.54,1.22649,1.44963,1.6732,0.70328,0.2812,0.29638,0.20077,1.07978,1.41849,1.62263,0.00835,0.00835,0.00835
27,8716.6,1.19179,1.42541,1.65161,0.65891,0.28192,0.3156,0.21004,1.07827,1.39573,1.64021,0.008284,0.008284,0.008284
28,9034.55,1.20918,1.4555,1.67212,0.49848,0.34198,0.30585,0.20612,1.07767,1.32347,1.58866,0.008218,0.008218,0.008218
29,9369.26,1.1624,1.40247,1.62185,0.67,0.30874,0.31464,0.21152,1.049,1.3292,1.60286,0.008152,0.008152,0.008152
30,9704.82,1.2001,1.41384,1.63106,0.61323,0.33651,0.32925,0.21755,1.08914,1.33693,1.62414,0.008086,0.008086,0.008086
31,10030.6,1.16993,1.38178,1.64,0.68321,0.29419,0.33578,0.22763,1.04613,1.26538,1.61028,0.00802,0.00802,0.00802
32,10352.5,1.1518,1.3296,1.5745,0.70335,0.27393,0.33731,0.23041,1.03917,1.27821,1.56924,0.007954,0.007954,0.007954
33,10691.5,1.13851,1.30412,1.57138,0.53333,0.37056,0.33332,0.22961,1.01828,1.26862,1.55446,0.007888,0.007888,0.007888
34,11015.1,1.14051,1.33944,1.57723,0.59441,0.32559,0.33151,0.22708,1.00579,1.23894,1.53135,0.007822,0.007822,0.007822
35,11351.2,1.10507,1.29944,1.58019,0.68911,0.30278,0.33744,0.2313,1.02749,1.2823,1.53975,0.007756,0.007756,0.007756
36,11672.9,1.12377,1.29925,1.5594,0.51492,0.36846,0.34254,0.23944,0.97591,1.16453,1.50889,0.00769,0.00769,0.00769
37,11998.2,1.1067,1.25352,1.56533,0.65655,0.30242,0.33942,0.23564,1.00785,1.21959,1.54264,0.007624,0.007624,0.007624
38,12340.3,1.10162,1.25715,1.52269,0.7152,0.3096,0.35955,0.24751,0.99304,1.15539,1.50452,0.007558,0.007558,0.007558
39,12657,1.12728,1.27215,1.56404,0.55735,0.35622,0.35321,0.24381,0.96593,1.18642,1.50068,0.007492,0.007492,0.007492
40,12983.3,1.0788,1.21598,1.52605,0.54585,0.38654,0.3545,0.24674,0.96313,1.15003,1.50214,0.007426,0.007426,0.007426
41,13318.3,1.07341,1.19416,1.52474,0.54805,0.37567,0.3669,0.25615,0.96029,1.13626,1.49011,0.00736,0.00736,0.00736
42,13634.6,1.0695,1.25326,1.53258,0.62175,0.32336,0.35359,0.24923,0.95178,1.15063,1.48989,0.007294,0.007294,0.007294
43,13980.4,1.06926,1.22476,1.53507,0.60673,0.36042,0.37097,0.26006,0.9173,1.10164,1.44828,0.007228,0.007228,0.007228
44,14293.7,1.07014,1.17083,1.51106,0.61263,0.37149,0.36617,0.25975,0.92922,1.09575,1.46112,0.007162,0.007162,0.007162
45,14605.2,1.06635,1.21885,1.51417,0.72266,0.31742,0.36636,0.2563,0.91126,1.10009,1.44191,0.007096,0.007096,0.007096
46,14957.1,1.06613,1.19219,1.53217,0.66545,0.34594,0.36634,0.25966,0.92879,1.11627,1.45895,0.00703,0.00703,0.00703
47,15300,1.0284,1.15651,1.47242,0.59509,0.35417,0.37947,0.26861,0.91107,1.0721,1.44119,0.006964,0.006964,0.006964
48,15607.6,1.04801,1.18459,1.5208,0.57614,0.36242,0.36667,0.26099,0.92671,1.08284,1.46262,0.006898,0.006898,0.006898
49,15928.1,1.0632,1.19799,1.52527,0.62634,0.36219,0.38176,0.277,0.88577,1.041,1.41045,0.006832,0.006832,0.006832
50,16276.6,1.03786,1.10106,1.47512,0.63108,0.36253,0.3827,0.27184,0.89898,1.04078,1.4264,0.006766,0.006766,0.006766
51,16602.6,1.05604,1.16002,1.50972,0.66969,0.35584,0.39192,0.28233,0.87769,1.02092,1.39937,0.0067,0.0067,0.0067
52,16925.2,1.05448,1.14433,1.47733,0.63738,0.37861,0.3872,0.27975,0.86189,1.01366,1.38988,0.006634,0.006634,0.006634
53,17257.2,1.03075,1.13791,1.47911,0.56776,0.39249,0.38538,0.27774,0.87715,1.00885,1.39919,0.006568,0.006568,0.006568
54,17576.4,1.0187,1.11632,1.46011,0.6583,0.3621,0.3902,0.28079,0.86175,1.00172,1.38781,0.006502,0.006502,0.006502
55,17924.3,1.00898,1.11116,1.4544,0.68925,0.36577,0.39726,0.28492,0.86348,0.98629,1.39189,0.006436,0.006436,0.006436
56,18237.7,1.00379,1.06755,1.46149,0.62371,0.37079,0.39656,0.28868,0.85939,0.97732,1.39208,0.00637,0.00637,0.00637
57,18557.3,1.00055,1.07014,1.4575,0.63298,0.38394,0.39602,0.28489,0.87302,0.97626,1.39598,0.006304,0.006304,0.006304
58,18900.6,0.97846,1.05589,1.4437,0.64698,0.37261,0.40671,0.29465,0.85836,0.96238,1.38337,0.006238,0.006238,0.006238
59,19226.9,0.99707,1.08783,1.47207,0.63087,0.38758,0.40464,0.29167,0.84086,0.96331,1.36619,0.006172,0.006172,0.006172
60,19547.2,0.99366,1.05903,1.4289,0.61134,0.39038,0.40009,0.28998,0.8626,0.96767,1.37838,0.006106,0.006106,0.006106
61,19862.6,0.97784,1.06173,1.44069,0.68067,0.3758,0.40468,0.29434,0.83278,0.9451,1.36101,0.00604,0.00604,0.00604
62,20191.5,1.01275,1.06171,1.44432,0.58455,0.41338,0.41246,0.30052,0.83542,0.93599,1.36906,0.005974,0.005974,0.005974
63,20536.3,0.98755,1.03064,1.42791,0.68316,0.38086,0.44347,0.32589,0.81733,0.91321,1.34489,0.005908,0.005908,0.005908
64,20848.8,0.97776,1.04043,1.44315,0.62764,0.38832,0.40193,0.29367,0.81394,0.91192,1.33712,0.005842,0.005842,0.005842
65,21159.2,0.96091,0.97171,1.40942,0.68924,0.36959,0.4214,0.31015,0.8079,0.91087,1.34128,0.005776,0.005776,0.005776
66,21491.3,0.97839,1.00419,1.42524,0.62297,0.39592,0.41173,0.30199,0.8151,0.91479,1.33488,0.00571,0.00571,0.00571
67,21834.1,0.99413,1.0071,1.4177,0.66407,0.3668,0.40696,0.29727,0.82133,0.89579,1.3471,0.005644,0.005644,0.005644
68,22142.2,0.94796,1.00443,1.39786,0.63157,0.38111,0.40936,0.30299,0.81349,0.89902,1.3349,0.005578,0.005578,0.005578
69,22461.7,1.00477,1.01391,1.43391,0.66799,0.36914,0.41015,0.30084,0.79226,0.871,1.31296,0.005512,0.005512,0.005512
70,22806.7,0.95321,0.9944,1.42461,0.70095,0.3759,0.42643,0.31633,0.78909,0.86807,1.31567,0.005446,0.005446,0.005446
71,23121.7,0.95748,1.00455,1.41527,0.68398,0.35685,0.39579,0.29241,0.78953,0.89941,1.31254,0.00538,0.00538,0.00538
