epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,316.82,3.33358,5.40037,4.224,0,0,0,0,2.98415,5.49668,4.16308,0.00328125,0.00328125,0.00328125
2,631.819,3.34083,5.38507,4.20188,0,0,0,0,2.98029,5.48511,4.13867,0.00657093,0.00657093,0.00657093
3,1078.98,3.23305,4.7398,3.82742,0.12993,0.01083,0.00217,0.00069,3.38437,1275.96,11.913,0.0098166,0.0098166,0.0098166
4,1473.95,2.55753,3.76731,2.90645,0.11761,0.066,0.00295,0.00108,2.88261,65.9998,3.63963,0.009802,0.009802,0.009802
5,1859.61,2.14978,3.23792,2.53444,0.34612,0.13064,0.05183,0.02254,2.18544,12.5201,2.76727,0.009736,0.009736,0.009736
6,2244.74,1.93063,2.88619,2.32368,0.29972,0.13255,0.07237,0.03578,1.93045,9.13269,2.56321,0.00967,0.00967,0.00967
7,2629.64,1.79138,2.66022,2.17502,0.3318,0.12494,0.09699,0.04884,1.74085,5.24795,2.33818,0.009604,0.009604,0.009604
8,3014.1,1.71521,2.45053,2.06221,0.34736,0.15474,0.12777,0.06609,1.67809,3.7578,2.25127,0.009538,0.009538,0.009538
9,3398.29,1.67054,2.34162,2.02403,0.39955,0.1287,0.13903,0.07269,1.65036,3.81171,2.19929,0.009472,0.009472,0.009472
10,3781.98,1.58195,2.17451,1.9633,0.42464,0.18919,0.16712,0.0946,1.48897,2.40874,2.02598,0.009406,0.009406,0.009406
11,4166.79,1.56205,2.1222,1.91311,0.40637,0.23199,0.18699,0.10771,1.43403,2.14613,1.97679,0.00934,0.00934,0.00934
12,4551.02,1.50942,2.07589,1.89012,0.53572,0.21202,0.20129,0.11852,1.42899,2.28416,1.96272,0.009274,0.009274,0.009274
13,4934.89,1.50972,2.01149,1.8683,0.59256,0.21841,0.21509,0.1252,1.41879,2.07167,1.94065,0.009208,0.009208,0.009208
14,5318.55,1.45446,1.86899,1.7982,0.38191,0.23567,0.20817,0.12517,1.439,2.20384,1.97628,0.009142,0.009142,0.009142
15,5702.2,1.46119,1.87382,1.81099,0.64475,0.23122,0.23077,0.14089,1.32582,1.88722,1.84584,0.009076,0.009076,0.009076
16,6086.46,1.40382,1.82131,1.75729,0.45141,0.25714,0.22068,0.13371,1.30564,2.1353,1.84051,0.00901,0.00901,0.00901
17,6470.48,1.38711,1.79302,1.76128,0.57843,0.24508,0.25048,0.1555,1.27928,1.75479,1.78848,0.008944,0.008944,0.008944
18,6854.15,1.36885,1.6961,1.73031,0.63081,0.24241,0.23925,0.15048,1.2476,1.78373,1.74431,0.008878,0.008878,0.008878
19,7237.55,1.33501,1.68655,1.72559,0.60412,0.25819,0.25834,0.16453,1.29024,1.75205,1.79399,0.008812,0.008812,0.008812
20,7621.48,1.33222,1.64656,1.71793,0.46643,0.25555,0.25258,0.16405,1.24163,1.82428,1.75196,0.008746,0.008746,0.008746
21,8005.12,1.31841,1.62515,1.68865,0.51975,0.28244,0.25631,0.16644,1.21561,1.72747,1.73364,0.00868,0.00868,0.00868
22,8388.71,1.27714,1.55782,1.65202,0.50513,0.31834,0.27657,0.17862,1.20633,1.63391,1.70461,0.008614,0.008614,0.008614
23,8772.39,1.27797,1.57223,1.65463,0.64608,0.26405,0.27949,0.18395,1.14543,1.58965,1.63645,0.008548,0.008548,0.008548
24,9155.89,1.27748,1.54808,1.63704,0.47368,0.30736,0.28182,0.18618,1.1497,1.58515,1.64198,0.008482,0.008482,0.008482
25,9539.64,1.25515,1.51372,1.63965,0.71909,0.26312,0.29643,0.19054,1.17284,1.5511,1.66515,0.008416,0.008416,0.008416
26,9923.22,1.24746,1.5091,1.64033,0.67389,0.26185,0.28756,0.18977,1.14647,1.54226,1.65016,0.00835,0.00835,0.00835
27,10306.5,1.23388,1.48827,1.62763,0.66609,0.27673,0.29017,0.19266,1.12334,1.46892,1.61999,0.008284,0.008284,0.008284
28,10687.4,1.25421,1.52668,1.65147,0.50025,0.33972,0.29848,0.19822,1.10225,1.41492,1.56511,0.008218,0.008218,0.008218
29,10933.4,1.19236,1.44617,1.59677,0.52955,0.33138,0.32972,0.22249,1.07609,1.40447,1.5641,0.008152,0.008152,0.008152
30,11167.4,1.21974,1.4672,1.59978,0.51838,0.34103,0.31388,0.21335,1.07741,1.37394,1.56827,0.008086,0.008086,0.008086
31,11400.1,1.18113,1.44714,1.59281,0.65892,0.30594,0.32102,0.21861,1.07125,1.34229,1.57589,0.00802,0.00802,0.00802
32,11639,1.18628,1.38139,1.55837,0.56118,0.34224,0.3224,0.2178,1.07014,1.31631,1.54588,0.007954,0.007954,0.007954
33,11890.4,1.16901,1.35097,1.55175,0.70901,0.27456,0.3248,0.21769,1.0763,1.36014,1.56474,0.007888,0.007888,0.007888
34,12125.8,1.16452,1.40247,1.55062,0.56791,0.33392,0.3409,0.23491,1.04139,1.29724,1.52743,0.007822,0.007822,0.007822
35,12358.9,1.13484,1.3748,1.55016,0.4926,0.35514,0.38106,0.26053,1.07909,1.31933,1.55616,0.007756,0.007756,0.007756
36,12598,1.15001,1.33952,1.52553,0.51315,0.36129,0.38848,0.26491,1.02807,1.34667,1.5211,0.00769,0.00769,0.00769
37,12851.1,1.14414,1.30215,1.54887,0.69083,0.29536,0.35346,0.24338,1.03938,1.26927,1.52153,0.007624,0.007624,0.007624
38,13089,1.11743,1.29211,1.49235,0.5581,0.35333,0.35579,0.24138,1.04137,1.25859,1.52216,0.007558,0.007558,0.007558
39,13321.9,1.14671,1.3086,1.54,0.62151,0.3328,0.39244,0.26297,1.01813,1.22177,1.51198,0.007492,0.007492,0.007492
40,13561.4,1.11347,1.25828,1.5078,0.51658,0.38973,0.37559,0.25795,0.99303,1.25021,1.47717,0.007426,0.007426,0.007426
41,13814.5,1.10711,1.24604,1.49815,0.67605,0.31181,0.35905,0.24697,0.99077,1.20034,1.47336,0.00736,0.00736,0.00736
42,14057.7,1.09,1.28843,1.50122,0.62578,0.31785,0.3626,0.25359,0.99862,1.16956,1.48371,0.007294,0.007294,0.007294
43,14290.6,1.09807,1.2712,1.5049,0.54252,0.36885,0.3996,0.28167,0.97157,1.22648,1.45721,0.007228,0.007228,0.007228
44,14527.3,1.0989,1.22358,1.49385,0.55151,0.37919,0.36697,0.25534,0.96575,1.14036,1.44734,0.007162,0.007162,0.007162
45,14773.6,1.09252,1.25101,1.48683,0.62178,0.34554,0.38601,0.26777,0.97,1.19614,1.45788,0.007096,0.007096,0.007096
46,15018.3,1.08122,1.23616,1.49802,0.54299,0.37735,0.41673,0.29197,0.98075,1.15044,1.46422,0.00703,0.00703,0.00703
47,15252.7,1.0571,1.19326,1.4557,0.61396,0.35802,0.38619,0.26963,0.96285,1.16435,1.44657,0.006964,0.006964,0.006964
48,15485.3,1.08296,1.25157,1.49955,0.65408,0.33332,0.41243,0.28976,0.95524,1.1221,1.43881,0.006898,0.006898,0.006898
49,15728.9,1.076,1.23785,1.48857,0.64709,0.35631,0.42024,0.30188,0.94028,1.10046,1.42894,0.006832,0.006832,0.006832
50,15976.7,1.054,1.14863,1.44589,0.57749,0.38624,0.38678,0.26986,0.93912,1.11724,1.42833,0.006766,0.006766,0.006766
51,16213,1.08802,1.1966,1.49358,0.73336,0.32077,0.42585,0.3006,0.94054,1.10391,1.425,0.0067,0.0067,0.0067
52,16445.8,1.07559,1.18305,1.44808,0.58717,0.38012,0.43768,0.30961,0.90927,1.07605,1.40242,0.006634,0.006634,0.006634
53,16681.7,1.05953,1.19542,1.46089,0.58206,0.38079,0.39374,0.2755,0.92994,1.08757,1.41982,0.006568,0.006568,0.006568
54,16926,1.06023,1.16648,1.44906,0.59247,0.37869,0.4159,0.29171,0.95101,1.07204,1.44278,0.006502,0.006502,0.006502
55,17164.4,1.03994,1.14282,1.44296,0.59347,0.38002,0.38427,0.2729,0.91155,1.06298,1.39253,0.006436,0.006436,0.006436
56,17399.2,1.01939,1.10955,1.43026,0.66661,0.35453,0.40952,0.29278,0.9,1.06023,1.37934,0.00637,0.00637,0.00637
57,17632.4,1.02853,1.12126,1.43974,0.60328,0.39553,0.45327,0.32587,0.91879,1.04892,1.40443,0.006304,0.006304,0.006304
58,17874.4,1.01053,1.0972,1.42614,0.64892,0.35728,0.4269,0.30553,0.9035,1.02373,1.38881,0.006238,0.006238,0.006238
59,18110.5,1.02887,1.14464,1.46359,0.60606,0.39291,0.45069,0.32126,0.88897,1.03497,1.36641,0.006172,0.006172,0.006172
60,18342.9,1.0115,1.09065,1.41092,0.61435,0.41007,0.43968,0.31157,0.90693,1.01883,1.39045,0.006106,0.006106,0.006106
61,18575.9,1.00846,1.10316,1.4249,0.61798,0.37933,0.42129,0.3014,0.88194,1.00588,1.36604,0.00604,0.00604,0.00604
62,18817.9,1.04175,1.09423,1.43192,0.64916,0.3811,0.40253,0.28756,0.88026,1.00073,1.36941,0.005974,0.005974,0.005974
63,19057.2,1.01527,1.07416,1.40916,0.65716,0.35248,0.4138,0.29635,0.87063,0.99235,1.35983,0.005908,0.005908,0.005908
64,19290,0.99667,1.07993,1.41739,0.62262,0.38949,0.42619,0.30644,0.87923,0.99222,1.3599,0.005842,0.005842,0.005842
65,19522.8,0.97843,1.01405,1.38573,0.63777,0.40151,0.45871,0.32519,0.87403,0.97528,1.35062,0.005776,0.005776,0.005776
66,19761.2,1.00721,1.0501,1.40646,0.62191,0.4032,0.43746,0.31224,0.86385,0.96897,1.34601,0.00571,0.00571,0.00571
67,20001,1.01382,1.0639,1.39787,0.65581,0.37196,0.40789,0.29262,0.84923,0.96852,1.33885,0.005644,0.005644,0.005644
68,20234.6,0.9826,1.05214,1.38438,0.63662,0.39362,0.46058,0.3318,0.85959,0.95344,1.3377,0.005578,0.005578,0.005578
69,20467.7,1.01972,1.048,1.40919,0.64541,0.39444,0.41435,0.2983,0.84157,0.94049,1.32826,0.005512,0.005512,0.005512
70,20702.9,0.98149,1.04736,1.41159,0.64888,0.38508,0.4274,0.30627,0.86127,0.96357,1.3507,0.005446,0.005446,0.005446
71,20943.8,0.99167,1.0519,1.40207,0.63926,0.40558,0.43917,0.31811,0.84355,0.92957,1.3295,0.00538,0.00538,0.00538
72,21179.3,0.98056,1.0507,1.3946,0.67947,0.37385,0.43411,0.31242,0.84568,0.92505,1.32275,0.005314,0.005314,0.005314
73,21411.8,0.97884,1.03554,1.39576,0.63386,0.39708,0.47458,0.35259,0.84229,0.93169,1.32577,0.005248,0.005248,0.005248
