epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,398.151,3.21944,5.22188,4.18979,0.00161,0.10722,0.00145,0.00041,3.12523,22.2355,4.27468,0.00332021,0.00332021,0.00332021
2,791.468,2.73306,4.02693,3.61899,0.54669,0.12048,0.03757,0.01423,2.39884,8.6848,3.33571,0.00660963,0.00660963,0.00660963
3,1186.61,2.12569,3.41031,2.89176,0.24577,0.10992,0.05759,0.02605,2.02865,4.43674,2.94742,0.00985505,0.00985505,0.00985505
4,1578.16,1.83465,2.97079,2.51189,0.32161,0.13495,0.09142,0.04462,1.71235,4.0742,2.52684,0.009802,0.009802,0.009802
5,1968.55,1.63336,2.55592,2.26631,0.39056,0.20556,0.17013,0.09341,1.46149,2.48198,2.24023,0.009736,0.009736,0.009736
6,2361.47,1.53725,2.35177,2.15141,0.40616,0.18423,0.17067,0.09598,1.49333,2.40866,2.24725,0.00967,0.00967,0.00967
7,2754.51,1.47124,2.20636,2.12168,0.40276,0.21414,0.18165,0.10045,1.44497,2.37825,2.19668,0.009604,0.009604,0.009604
8,3147.26,1.39713,2.03156,2.00124,0.46621,0.21684,0.21308,0.12876,1.27659,2.27956,2.01205,0.009538,0.009538,0.009538
9,3539.42,1.35201,1.94624,1.98081,0.57538,0.24708,0.21902,0.1365,1.22931,2.01802,1.94204,0.009472,0.009472,0.009472
10,3929.47,1.3066,1.83212,1.91017,0.48134,0.327,0.25657,0.1639,1.21869,1.74492,1.9063,0.009406,0.009406,0.009406
11,4319.13,1.31243,1.84,1.90639,0.61131,0.25715,0.25749,0.16959,1.16611,1.62313,1.86662,0.00934,0.00934,0.00934
12,4709.38,1.25052,1.72173,1.84458,0.57226,0.25882,0.26489,0.17414,1.15106,1.62623,1.82582,0.009274,0.009274,0.009274
13,5101.31,1.25512,1.70212,1.83369,0.52256,0.30539,0.26405,0.17416,1.13376,1.52851,1.81615,0.009208,0.009208,0.009208
14,5491.48,1.20488,1.57897,1.79875,0.62968,0.26536,0.27429,0.17787,1.17096,1.52562,1.86002,0.009142,0.009142,0.009142
15,5881.22,1.19543,1.57827,1.79156,0.54962,0.289,0.28513,0.18713,1.11085,1.55321,1.79846,0.009076,0.009076,0.009076
16,6271.33,1.17933,1.54328,1.76541,0.52229,0.35098,0.29019,0.19505,1.1085,1.43862,1.76784,0.00901,0.00901,0.00901
17,6661.78,1.18783,1.55943,1.76533,0.58836,0.34722,0.30908,0.20913,1.06222,1.3433,1.73478,0.008944,0.008944,0.008944
18,7051.2,1.12241,1.45074,1.73089,0.49846,0.3273,0.29948,0.20039,1.08902,1.33055,1.75558,0.008878,0.008878,0.008878
19,7440.89,1.14266,1.45795,1.72129,0.5085,0.35067,0.31606,0.21829,1.05833,1.30375,1.72282,0.008812,0.008812,0.008812
20,7830.36,1.13103,1.43202,1.71593,0.42645,0.37972,0.32689,0.22589,1.03188,1.26739,1.68822,0.008746,0.008746,0.008746
21,8219.4,1.11845,1.38491,1.70952,0.63363,0.32021,0.33811,0.23456,0.99789,1.2697,1.65676,0.00868,0.00868,0.00868
22,8611.06,1.11653,1.42608,1.6978,0.56967,0.36471,0.3321,0.23169,1.00474,1.24654,1.66561,0.008614,0.008614,0.008614
23,9000.23,1.08748,1.34211,1.67197,0.48031,0.32427,0.32201,0.22356,0.98397,1.25294,1.63104,0.008548,0.008548,0.008548
24,9389.16,1.05398,1.32039,1.65371,0.43205,0.3679,0.38579,0.27516,0.97339,1.17879,1.60418,0.008482,0.008482,0.008482
25,9778.37,1.07036,1.2866,1.65118,0.54989,0.36125,0.34416,0.23958,0.98267,1.15195,1.62171,0.008416,0.008416,0.008416
26,10168.3,1.04003,1.3024,1.63208,0.57503,0.30909,0.34579,0.24242,0.96388,1.18595,1.59082,0.00835,0.00835,0.00835
