epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,607.593,2.9588,4.24447,3.47255,0.06037,0.01672,0.00073,0.00024,3.80509,444.558,11.005,0.00330709,0.00330709,0.00330709
2,1216.45,2.42694,3.45729,2.76807,0.26605,0.05589,0.02264,0.00929,2.47097,26.0763,3.33813,0.00659659,0.00659659,0.00659659
3,1818.17,2.18592,3.21489,2.51566,0.67325,0.04041,0.00364,0.00114,3.06482,21.8536,3.88768,0.0098421,0.0098421,0.0098421
4,2420.48,2.04695,2.98184,2.35773,0.31321,0.06415,0.02851,0.01261,2.28358,4.82203,2.78313,0.009802,0.009802,0.009802
5,3022.82,1.92578,2.76781,2.2197,0.58641,0.11372,0.06295,0.0307,2.29772,4.53979,2.84568,0.009736,0.009736,0.009736
6,3625.63,1.86986,2.68174,2.15618,0.44384,0.1233,0.09353,0.05055,1.8606,5.31885,2.33848,0.00967,0.00967,0.00967
7,4228.18,1.773,2.49969,2.04974,0.61871,0.1461,0.10124,0.04955,1.85119,3.31993,2.26665,0.009604,0.009604,0.009604
8,4830.39,1.73005,2.4176,1.97974,0.58891,0.15259,0.12769,0.06657,1.70516,3.54198,2.13374,0.009538,0.009538,0.009538
9,5432.65,1.68156,2.33317,1.93307,0.60964,0.17194,0.15202,0.08322,1.67796,2.676,2.07038,0.009472,0.009472,0.009472
10,6035.77,1.62671,2.26001,1.88401,0.74265,0.15861,0.14725,0.08352,1.70796,3.01584,2.15567,0.009406,0.009406,0.009406
11,6637.71,1.61052,2.18888,1.85591,0.60775,0.21041,0.18132,0.10262,1.60702,2.32452,1.99183,0.00934,0.00934,0.00934
12,7239.91,1.54746,2.09532,1.7913,0.69304,0.18221,0.1731,0.1003,1.49199,2.30992,1.86573,0.009274,0.009274,0.009274
13,7841.69,1.50621,2.00912,1.7588,0.61787,0.22627,0.20834,0.12548,1.40385,2.08441,1.78667,0.009208,0.009208,0.009208
14,8444.02,1.48213,1.92277,1.72088,0.63349,0.19398,0.16264,0.08695,1.78631,2.8019,2.10877,0.009142,0.009142,0.009142
15,9045.68,1.44213,1.84955,1.67023,0.71087,0.19988,0.20297,0.12227,1.39524,2.03323,1.74245,0.009076,0.009076,0.009076
16,9647.41,1.42471,1.8455,1.6827,0.62512,0.23066,0.21197,0.12911,1.34732,1.88968,1.69668,0.00901,0.00901,0.00901
17,10250.3,1.40178,1.81459,1.65743,0.63188,0.23999,0.23865,0.1461,1.38376,1.88692,1.76042,0.008944,0.008944,0.008944
18,10853.2,1.39463,1.76234,1.62767,0.55022,0.2536,0.24204,0.14889,1.31138,1.81329,1.6509,0.008878,0.008878,0.008878
19,11455.3,1.33815,1.68071,1.58039,0.56441,0.29536,0.26509,0.16562,1.29869,1.72715,1.65191,0.008812,0.008812,0.008812
20,12057,1.33262,1.64156,1.54984,0.62615,0.27727,0.26163,0.16546,1.26467,1.68215,1.6196,0.008746,0.008746,0.008746
21,12658.7,1.30167,1.61049,1.56297,0.66523,0.25413,0.25343,0.1584,1.24517,1.77274,1.60704,0.00868,0.00868,0.00868
22,13260.8,1.29192,1.60969,1.544,0.59852,0.25064,0.256,0.16145,1.23478,1.70358,1.59699,0.008614,0.008614,0.008614
23,13863.1,1.26837,1.58615,1.53647,0.50814,0.27418,0.27499,0.1745,1.20346,1.7215,1.56959,0.008548,0.008548,0.008548
24,14465.4,1.26327,1.55924,1.52375,0.60562,0.27088,0.27293,0.17444,1.19433,1.71072,1.5416,0.008482,0.008482,0.008482
25,15067.2,1.24068,1.54442,1.5061,0.64704,0.26381,0.27514,0.17647,1.18512,1.67185,1.53134,0.008416,0.008416,0.008416
26,15669.4,1.23361,1.52239,1.49674,0.51685,0.30691,0.30569,0.20015,1.17738,1.53984,1.51307,0.00835,0.00835,0.00835
27,16271.3,1.22844,1.50948,1.47885,0.43323,0.31516,0.30215,0.2001,1.11139,1.42792,1.46341,0.008284,0.008284,0.008284
28,16872.9,1.21086,1.43878,1.47266,0.64507,0.2958,0.30473,0.20177,1.09743,1.44363,1.44864,0.008218,0.008218,0.008218
29,17475.4,1.18811,1.42419,1.45282,0.48034,0.34375,0.30638,0.2065,1.09996,1.44982,1.4653,0.008152,0.008152,0.008152
30,18077.8,1.16051,1.36323,1.42073,0.63901,0.29823,0.31931,0.21117,1.0758,1.47716,1.419,0.008086,0.008086,0.008086
31,18679.8,1.17238,1.36371,1.43053,0.47825,0.31765,0.30256,0.20165,1.08758,1.39434,1.44318,0.00802,0.00802,0.00802
32,19281.5,1.16486,1.33606,1.42103,0.5151,0.31091,0.31796,0.21278,1.07688,1.46412,1.43297,0.007954,0.007954,0.007954
33,19883.7,1.14228,1.3233,1.40028,0.599,0.29668,0.32429,0.22055,1.04434,1.40293,1.39815,0.007888,0.007888,0.007888
34,20486.3,1.1364,1.3348,1.41189,0.62665,0.32634,0.36111,0.248,1.06556,1.32518,1.41093,0.007822,0.007822,0.007822
35,21089.6,1.14325,1.31718,1.4074,0.59727,0.34534,0.34046,0.22963,1.02797,1.30914,1.37994,0.007756,0.007756,0.007756
36,21691.7,1.12774,1.31471,1.39227,0.53619,0.33778,0.35126,0.23945,1.02399,1.28869,1.37788,0.00769,0.00769,0.00769
37,22293.3,1.11169,1.25433,1.37861,0.57782,0.31809,0.34392,0.2361,1.00547,1.27517,1.37421,0.007624,0.007624,0.007624
38,22895,1.10535,1.27488,1.37295,0.49173,0.34529,0.35344,0.24186,0.97413,1.21502,1.33183,0.007558,0.007558,0.007558
39,23496.9,1.09655,1.25694,1.37022,0.55213,0.34787,0.35718,0.24829,0.99833,1.22299,1.34888,0.007492,0.007492,0.007492
40,24098.3,1.07962,1.24924,1.36235,0.41297,0.36961,0.34344,0.23909,0.97224,1.25019,1.33539,0.007426,0.007426,0.007426
41,24699.8,1.08514,1.22736,1.36452,0.62367,0.32897,0.34312,0.23767,0.95956,1.22591,1.3163,0.00736,0.00736,0.00736
42,25301.3,1.07739,1.21745,1.34969,0.57959,0.32854,0.36388,0.2522,0.96007,1.19974,1.31813,0.007294,0.007294,0.007294
43,25903.5,1.06137,1.20488,1.34095,0.43823,0.35224,0.35324,0.24341,0.97826,1.22656,1.33034,0.007228,0.007228,0.007228
44,26507.1,1.04405,1.15631,1.33125,0.60732,0.33614,0.36999,0.2571,0.92992,1.14841,1.29554,0.007162,0.007162,0.007162
45,27109.9,1.04416,1.17108,1.31858,0.5583,0.35816,0.35804,0.2511,0.94289,1.25411,1.30671,0.007096,0.007096,0.007096
46,27711.9,1.04564,1.15897,1.33192,0.57311,0.35168,0.37507,0.26466,0.90823,1.11648,1.27496,0.00703,0.00703,0.00703
47,28314.2,1.02913,1.14242,1.31923,0.68461,0.3573,0.37476,0.26139,0.93926,1.1221,1.29483,0.006964,0.006964,0.006964
48,28915.9,1.03652,1.16308,1.32268,0.52962,0.35769,0.35319,0.24935,0.92297,1.10918,1.28025,0.006898,0.006898,0.006898
49,29517.5,1.02933,1.11424,1.31662,0.47005,0.42546,0.40133,0.28524,0.90118,1.09246,1.26933,0.006832,0.006832,0.006832
50,30120.3,1.03075,1.13432,1.32068,0.52903,0.35749,0.37446,0.2642,0.90091,1.09007,1.27029,0.006766,0.006766,0.006766
51,30722.1,1.03213,1.13246,1.3219,0.54027,0.38422,0.37366,0.26518,0.90001,1.0556,1.25557,0.0067,0.0067,0.0067
52,31323.4,1.01958,1.0811,1.30703,0.4163,0.45494,0.39796,0.28204,0.90579,1.09511,1.27411,0.006634,0.006634,0.006634
53,31925,1.01599,1.09763,1.30242,0.50138,0.37463,0.38658,0.27657,0.87313,1.05297,1.2334,0.006568,0.006568,0.006568
54,32526.6,0.99659,1.07569,1.2804,0.44931,0.36431,0.36929,0.26405,0.87667,1.05244,1.23713,0.006502,0.006502,0.006502
55,33128.9,0.97931,1.061,1.26921,0.57523,0.3593,0.37512,0.27157,0.86021,1.03636,1.22545,0.006436,0.006436,0.006436
56,33730.4,1.00473,1.10119,1.30003,0.49897,0.37178,0.38398,0.27699,0.85687,1.01582,1.21893,0.00637,0.00637,0.00637
57,34332.5,0.99845,1.0737,1.2724,0.6665,0.36621,0.38719,0.27861,0.84997,1.02909,1.21866,0.006304,0.006304,0.006304
58,34934,0.98219,1.04332,1.26124,0.54996,0.35267,0.38641,0.27891,0.86161,1.00844,1.23496,0.006238,0.006238,0.006238
59,35535.3,0.98563,1.03082,1.27025,0.6168,0.35219,0.39701,0.28803,0.85754,1.01734,1.22168,0.006172,0.006172,0.006172
60,36137.3,0.97238,1.03103,1.26076,0.60768,0.36927,0.40785,0.29527,0.8473,0.96815,1.21664,0.006106,0.006106,0.006106
61,36739.1,0.97017,1.03702,1.26169,0.57032,0.38708,0.39756,0.28683,0.83847,1.00005,1.20793,0.00604,0.00604,0.00604
62,37341,0.96559,1.03199,1.26337,0.44649,0.381,0.40389,0.29404,0.8382,0.9741,1.20194,0.005974,0.005974,0.005974
63,37942.9,0.94615,0.99312,1.24598,0.51719,0.45708,0.42484,0.31406,0.82521,0.94944,1.19322,0.005908,0.005908,0.005908
64,38545.6,0.96508,0.99928,1.26028,0.51081,0.38428,0.39865,0.29147,0.82045,0.9859,1.19314,0.005842,0.005842,0.005842
65,39148.1,0.94706,0.98893,1.24971,0.53904,0.38912,0.39729,0.28823,0.8337,0.97161,1.20183,0.005776,0.005776,0.005776
66,39750.1,0.93792,0.98793,1.24155,0.3932,0.45594,0.41963,0.3119,0.83201,0.98689,1.19954,0.00571,0.00571,0.00571
67,40352.2,0.93388,0.98931,1.24608,0.57508,0.39542,0.41254,0.30554,0.80655,0.90974,1.17957,0.005644,0.005644,0.005644
68,40954.2,0.94455,0.9734,1.25067,0.52288,0.37541,0.41068,0.30315,0.80897,0.91965,1.18103,0.005578,0.005578,0.005578
69,41556.2,0.92431,0.94735,1.22565,0.56186,0.4301,0.4589,0.34284,0.80067,0.91469,1.16793,0.005512,0.005512,0.005512
70,42159,0.93414,0.97304,1.23609,0.42964,0.39972,0.41809,0.30684,0.81068,0.93785,1.17967,0.005446,0.005446,0.005446
71,42761.5,0.92644,0.94417,1.23571,0.59024,0.38862,0.41677,0.30467,0.81378,0.97083,1.18207,0.00538,0.00538,0.00538
72,43363.8,0.90724,0.94404,1.22042,0.53071,0.41005,0.42021,0.30874,0.78921,0.89219,1.15917,0.005314,0.005314,0.005314
73,43965.9,0.91289,0.95337,1.21811,0.54484,0.40502,0.42578,0.31508,0.78528,0.87583,1.15593,0.005248,0.005248,0.005248
74,44568,0.9022,0.92575,1.21901,0.4336,0.46535,0.43211,0.31951,0.78498,0.87286,1.16185,0.005182,0.005182,0.005182
