epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,438.464,1.71391,2.93498,1.8193,1e-05,0.00056,0,0,3.76003,1.29021e+08,437492,0.00328125,0.00328125,0.00328125
2,819.765,1.73959,2.64938,1.85035,1e-05,0.00056,0,0,0.03677,54356.5,180.275,0.00657093,0.00657093,0.00657093
3,1249.2,1.69782,2.50483,1.83738,0,5e-05,0,0,0.47868,4179.89,1.02249,0.0098166,0.0098166,0.0098166
4,1686.9,1.58445,2.23798,1.72199,0.44701,0.00286,0.00035,0.00013,3.98359,135.874,10.4277,0.009802,0.009802,0.009802
5,2124.57,1.4644,2.079,1.63084,0.72275,0.12134,0.08676,0.04578,1.74591,8.15161,2.1861,0.009736,0.009736,0.009736
6,2562.45,1.4149,1.93215,1.59933,0.55705,0.12239,0.10756,0.0635,1.61289,8.54443,1.95708,0.00967,0.00967,0.00967
7,3000.2,1.36076,1.83474,1.5529,0.58107,0.13396,0.12127,0.0663,1.647,5.4155,2.04754,0.009604,0.009604,0.009604
8,3438.1,1.30911,1.72384,1.49795,0.6991,0.16911,0.1417,0.07814,1.62243,5.06436,1.9839,0.009538,0.009538,0.009538
9,3878.68,1.32945,1.70059,1.50813,0.56505,0.20098,0.16006,0.09366,1.4441,3.4549,1.75577,0.009472,0.009472,0.009472
10,4317.84,1.26163,1.59681,1.49048,0.72824,0.17741,0.19413,0.11496,1.42882,3.0832,1.76498,0.009406,0.009406,0.009406
11,4755.78,1.22629,1.56377,1.43621,0.59128,0.20029,0.19397,0.11425,1.42785,2.44886,1.7538,0.00934,0.00934,0.00934
12,5192.79,1.22788,1.53977,1.46281,0.70225,0.24479,0.20976,0.1332,1.33132,2.16819,1.70929,0.009274,0.009274,0.009274
13,5631.17,1.21088,1.48941,1.42002,0.76886,0.20132,0.21256,0.13536,1.28927,1.9625,1.60071,0.009208,0.009208,0.009208
14,6069.97,1.18925,1.41863,1.39421,0.65311,0.28376,0.24818,0.15951,1.26491,1.7039,1.60229,0.009142,0.009142,0.009142
15,6507.43,1.18258,1.43284,1.40607,0.79524,0.24607,0.25956,0.17188,1.16621,1.68633,1.50511,0.009076,0.009076,0.009076
16,6945.67,1.14933,1.42207,1.37252,0.71927,0.27926,0.29217,0.19465,1.08175,1.54286,1.43347,0.00901,0.00901,0.00901
17,7384.27,1.13891,1.39802,1.37397,0.58766,0.29511,0.28634,0.18369,1.25187,1.61822,1.58531,0.008944,0.008944,0.008944
18,7821.27,1.10121,1.31489,1.34573,0.60061,0.30226,0.26742,0.17848,1.08448,1.52213,1.41845,0.008878,0.008878,0.008878
19,8258.42,1.09669,1.31411,1.35273,0.75496,0.29655,0.29882,0.20031,1.04267,1.432,1.38437,0.008812,0.008812,0.008812
20,8696.38,1.08505,1.26351,1.33764,0.67323,0.29895,0.29208,0.20051,1.03031,1.36089,1.38216,0.008746,0.008746,0.008746
21,9133.24,1.06862,1.2555,1.32783,0.68095,0.33121,0.30845,0.20972,1.08679,1.55081,1.42977,0.00868,0.00868,0.00868
22,9570.18,1.04771,1.19816,1.31473,0.73766,0.30678,0.31326,0.21773,1.01019,1.29737,1.34459,0.008614,0.008614,0.008614
23,10008.2,1.04544,1.19673,1.31316,0.39435,0.40605,0.32246,0.22429,0.97414,1.23746,1.32689,0.008548,0.008548,0.008548
24,10445.6,1.04605,1.19927,1.3107,0.58125,0.34355,0.31801,0.22405,1.02358,1.27892,1.36448,0.008482,0.008482,0.008482
25,10882.5,1.02579,1.17428,1.30407,0.74239,0.33154,0.3648,0.25934,0.93077,1.13295,1.28326,0.008416,0.008416,0.008416
26,11320.7,1.01099,1.15074,1.28792,0.55726,0.34505,0.35108,0.25185,0.92195,1.12274,1.27343,0.00835,0.00835,0.00835
27,11757.9,0.99335,1.12545,1.2776,0.46506,0.3492,0.34246,0.24339,0.98976,1.14501,1.33303,0.008284,0.008284,0.008284
28,12194.3,1.02738,1.16235,1.31193,0.53004,0.39523,0.32902,0.24146,0.93995,3.27507,1.29282,0.008218,0.008218,0.008218
