epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,457.138,2.7111,4.0865,3.29838,0.1158,0.00286,0.00081,0.00028,3.70629,589.223,6.32916,0.00330709,0.00330709,0.00330709
2,962.838,2.14623,3.22028,2.54115,0.02468,0.06004,0.01292,0.00582,2.61469,110.858,3.38763,0.00659659,0.00659659,0.00659659
3,1415.53,1.92848,2.93759,2.28745,0.54267,0.04279,0.02169,0.00909,2.69129,10.823,3.72278,0.0098421,0.0098421,0.0098421
4,1873.44,1.85578,2.84706,2.25478,0.72361,0.10444,0.05857,0.02669,1.9346,9.76571,2.58653,0.009802,0.009802,0.009802
5,2329.91,1.77071,2.60573,2.16087,0.49349,0.08638,0.03927,0.01682,1.99044,7.65317,2.62886,0.009736,0.009736,0.009736
6,2779.07,1.66897,2.5099,2.08211,0.46918,0.159,0.07513,0.03922,1.85714,4.44011,2.49835,0.00967,0.00967,0.00967
7,3236.76,1.61201,2.33728,2.0284,0.54807,0.10459,0.06497,0.0349,1.79573,10.5925,2.42735,0.009604,0.009604,0.009604
8,3681.76,1.55784,2.22485,1.9829,0.50564,0.17802,0.11054,0.06106,1.64632,2.64297,2.22747,0.009538,0.009538,0.009538
9,4125.56,1.53332,2.15067,1.94885,0.68843,0.14517,0.10461,0.05474,1.61184,2.65094,2.21432,0.009472,0.009472,0.009472
10,4568.46,1.47272,2.07742,1.91063,0.57897,0.22572,0.15654,0.09322,1.40952,2.39299,2.00037,0.009406,0.009406,0.009406
11,5013.06,1.48708,2.06467,1.91449,0.67543,0.2045,0.15823,0.09145,1.43128,2.52394,2.02841,0.00934,0.00934,0.00934
12,5462.01,1.43557,1.988,1.84754,0.52537,0.25407,0.19106,0.11217,1.37875,2.12913,1.95856,0.009274,0.009274,0.009274
13,5910.48,1.43963,1.97298,1.87328,0.70612,0.19281,0.18516,0.1115,1.39041,2.15004,1.97557,0.009208,0.009208,0.009208
14,6358.34,1.37752,1.85192,1.80216,0.6809,0.2235,0.20243,0.12261,1.29622,1.99088,1.85212,0.009142,0.009142,0.009142
15,6808.58,1.36309,1.84333,1.78874,0.68416,0.21167,0.20639,0.11881,1.30742,2.05649,1.86573,0.009076,0.009076,0.009076
16,7260.85,1.31928,1.75439,1.73595,0.48396,0.25345,0.19196,0.11873,1.35583,2.01754,1.93123,0.00901,0.00901,0.00901
17,7712.2,1.31313,1.74438,1.72576,0.42425,0.32073,0.24001,0.15187,1.29339,1.83825,1.85197,0.008944,0.008944,0.008944
18,8164.71,1.29682,1.73794,1.74178,0.54138,0.30319,0.25371,0.16246,1.22864,1.72656,1.80392,0.008878,0.008878,0.008878
19,8616.43,1.27724,1.67144,1.72432,0.49475,0.31649,0.2821,0.18135,1.15578,1.88857,1.72512,0.008812,0.008812,0.008812
